timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/08/27 15:27:54.296, 1, 0 %, 0 %, 35278 MiB, 37.30 W
2026/08/27 15:27:54.296, 2, 0 %, 0 %, 35278 MiB, 38.25 W
2026/08/27 15:27:59.297, 0, 100 %, 27 %, 35285 MiB, 136.72 W
2026/08/27 15:27:59.297, 1, 100 %, 27 %, 35278 MiB, 110.50 W
2026/08/27 15:27:59.297, 2, 100 %, 23 %, 35278 MiB, 84.71 W
2026/08/27 15:28:04.298, 0, 100 %, 22 %, 35285 MiB, 142.80 W
2026/08/27 15:28:04.298, 1, 100 %, 24 %, 35278 MiB, 121.95 W
2026/08/27 15:28:04.299, 2, 100 %, 24 %, 35278 MiB, 115.35 W
2026/08/27 15:28:09.299, 0, 100 %, 22 %, 35285 MiB, 105.65 W
2026/08/27 15:28:09.299, 1, 100 %, 25 %, 35278 MiB, 155.14 W
2026/08/27 15:28:09.299, 2, 100 %, 30 %, 35278 MiB, 121.20 W
2026/08/27 15:28:14.299, 0, 0 %, 0 %, 35287 MiB, 37.92 W
2026/08/27 15:28:14.299, 1, 0 %, 0 %, 35278 MiB, 37.70 W
2026/08/27 15:28:14.299, 2, 0 %, 0 %, 35278 MiB, 38.64 W
2026/08/27 15:28:19.300, 0, 100 %, 19 %, 35287 MiB, 147.95 W
2026/08/27 15:28:19.300, 1, 100 %, 26 %, 35278 MiB, 79.00 W
2026/08/27 15:28:19.300, 2, 100 %, 20 %, 35278 MiB, 95.65 W
2026/08/27 15:28:24.301, 0, 100 %, 25 %, 35287 MiB, 120.81 W
2026/08/27 15:28:24.301, 1, 100 %, 25 %, 35278 MiB, 143.17 W
2026/08/27 15:28:24.301, 2, 100 %, 29 %, 35278 MiB, 201.35 W
2026/08/27 15:28:29.302, 0, 100 %, 25 %, 35287 MiB, 189.32 W
2026/08/27 15:28:29.302, 1, 100 %, 23 %, 35278 MiB, 83.90 W
2026/08/27 15:28:29.302, 2, 100 %, 27 %, 35278 MiB, 182.50 W
2026/08/27 15:28:34.302, 0, 2 %, 1 %, 35289 MiB, 38.02 W
2026/08/27 15:28:34.302, 1, 0 %, 0 %, 35278 MiB, 37.40 W
2026/08/27 15:28:34.302, 2, 0 %, 0 %, 35278 MiB, 38.55 W
2026/08/27 15:28:39.303, 0, 0 %, 0 %, 35291 MiB, 39.20 W
2026/08/27 15:28:39.304, 1, 0 %, 0 %, 35278 MiB, 37.01 W
2026/08/27 15:28:39.304, 2, 0 %, 0 %, 35278 MiB, 38.15 W
2026/08/27 15:28:44.304, 0, 100 %, 21 %, 35297 MiB, 190.14 W
2026/08/27 15:28:44.304, 1, 100 %, 18 %, 35278 MiB, 80.93 W
2026/08/27 15:28:44.304, 2, 100 %, 27 %, 35278 MiB, 76.19 W
2026/08/27 15:28:49.305, 0, 100 %, 21 %, 35297 MiB, 170.51 W
2026/08/27 15:28:49.305, 1, 100 %, 25 %, 35278 MiB, 148.16 W
2026/08/27 15:28:49.305, 2, 100 %, 21 %, 35278 MiB, 148.93 W
2026/08/27 15:28:54.305, 0, 100 %, 21 %, 35297 MiB, 180.01 W
2026/08/27 15:28:54.305, 1, 100 %, 19 %, 35278 MiB, 109.32 W
2026/08/27 15:28:54.305, 2, 100 %, 23 %, 35278 MiB, 121.73 W
2026/08/27 15:28:59.306, 0, 97 %, 0 %, 35297 MiB, 74.11 W
2026/08/27 15:28:59.306, 1, 0 %, 0 %, 35278 MiB, 57.45 W
2026/08/27 15:28:59.306, 2, 0 %, 0 %, 35278 MiB, 60.19 W
2026/08/27 15:29:04.307, 0, 0 %, 0 %, 35299 MiB, 37.92 W
2026/08/27 15:29:04.307, 1, 0 %, 0 %, 35280 MiB, 37.10 W
2026/08/27 15:29:04.307, 2, 0 %, 0 %, 35278 MiB, 38.35 W
2026/08/27 15:29:09.307, 0, 0 %, 0 %, 35299 MiB, 48.81 W
2026/08/27 15:29:09.307, 1, 0 %, 0 %, 35280 MiB, 36.79 W
2026/08/27 15:29:09.307, 2, 0 %, 0 %, 35278 MiB, 38.14 W
2026/08/27 15:29:14.308, 0, 0 %, 0 %, 35299 MiB, 37.53 W
2026/08/27 15:29:14.308, 1, 0 %, 0 %, 35280 MiB, 36.81 W
2026/08/27 15:29:14.308, 2, 0 %, 0 %, 35278 MiB, 38.35 W
2026/08/27 15:29:19.308, 0, 98 %, 24 %, 35303 MiB, 99.76 W
2026/08/27 15:29:19.309, 1, 100 %, 21 %, 35284 MiB, 122.81 W
2026/08/27 15:29:19.309, 2, 100 %, 22 %, 35278 MiB, 183.88 W
2026/08/27 15:29:24.310, 0, 100 %, 25 %, 35303 MiB, 111.33 W
2026/08/27 15:29:24.310, 1, 100 %, 21 %, 35284 MiB, 126.59 W
2026/08/27 15:29:24.310, 2, 100 %, 21 %, 35278 MiB, 214.59 W
2026/08/27 15:29:29.311, 0, 100 %, 25 %, 35303 MiB, 83.47 W
2026/08/27 15:29:29.311, 1, 100 %, 23 %, 35284 MiB, 119.11 W
2026/08/27 15:29:29.311, 2, 100 %, 23 %, 35278 MiB, 170.00 W
2026/08/27 15:29:34.311, 0, 99 %, 3 %, 35303 MiB, 74.02 W
2026/08/27 15:29:34.312, 1, 36 %, 3 %, 35284 MiB, 58.82 W
2026/08/27 15:29:34.312, 2, 0 %, 0 %, 35278 MiB, 59.99 W
2026/08/27 15:29:39.312, 0, 2 %, 0 %, 35303 MiB, 38.42 W
2026/08/27 15:29:39.312, 1, 0 %, 0 %, 35288 MiB, 37.48 W
2026/08/27 15:29:39.312, 2, 0 %, 0 %, 35278 MiB, 38.35 W
2026/08/27 15:29:44.313, 0, 0 %, 0 %, 35303 MiB, 37.90 W
2026/08/27 15:29:44.313, 1, 0 %, 0 %, 35288 MiB, 37.18 W
2026/08/27 15:29:44.313, 2, 0 %, 0 %, 35278 MiB, 38.04 W
2026/08/27 15:29:49.313, 0, 0 %, 0 %, 35303 MiB, 37.72 W
2026/08/27 15:29:49.313, 1, 0 %, 0 %, 35288 MiB, 37.20 W
2026/08/27 15:29:49.313, 2, 0 %, 0 %, 35278 MiB, 38.25 W
2026/08/27 15:29:54.314, 0, 8 %, 3 %, 35303 MiB, 37.90 W
2026/08/27 15:29:54.314, 1, 0 %, 0 %, 35288 MiB, 36.71 W
2026/08/27 15:29:54.314, 2, 0 %, 0 %, 35278 MiB, 38.04 W
2026/08/27 15:29:59.315, 0, 6 %, 0 %, 35303 MiB, 37.92 W
2026/08/27 15:29:59.315, 1, 0 %, 0 %, 35288 MiB, 37.20 W
2026/08/27 15:29:59.315, 2, 0 %, 0 %, 35278 MiB, 38.04 W
2026/08/27 15:30:04.315, 0, 100 %, 26 %, 35303 MiB, 90.92 W
2026/08/27 15:30:04.315, 1, 100 %, 17 %, 35296 MiB, 79.58 W
2026/08/27 15:30:04.315, 2, 100 %, 22 %, 35278 MiB, 82.32 W
2026/08/27 15:30:09.316, 0, 100 %, 24 %, 35303 MiB, 128.50 W
2026/08/27 15:30:09.317, 1, 100 %, 27 %, 35296 MiB, 131.96 W
2026/08/27 15:30:09.317, 2, 100 %, 21 %, 35278 MiB, 135.88 W
2026/08/27 15:30:14.317, 0, 100 %, 19 %, 35303 MiB, 80.57 W
2026/08/27 15:30:14.317, 1, 100 %, 25 %, 35296 MiB, 155.80 W
2026/08/27 15:30:14.317, 2, 100 %, 23 %, 35278 MiB, 132.00 W
2026/08/27 15:30:19.318, 0, 100 %, 28 %, 35303 MiB, 207.12 W
2026/08/27 15:30:19.318, 1, 100 %, 22 %, 35296 MiB, 163.78 W
2026/08/27 15:30:19.318, 2, 100 %, 30 %, 35278 MiB, 164.51 W
2026/08/27 15:30:24.319, 0, 8 %, 0 %, 35303 MiB, 60.37 W
2026/08/27 15:30:24.320, 1, 0 %, 0 %, 35296 MiB, 58.05 W
2026/08/27 15:30:24.320, 2, 6 %, 0 %, 35284 MiB, 60.56 W
2026/08/27 15:30:29.320, 0, 0 %, 0 %, 35303 MiB, 37.92 W
2026/08/27 15:30:29.320, 1, 0 %, 0 %, 35296 MiB, 37.20 W
2026/08/27 15:30:29.320, 2, 0 %, 0 %, 35284 MiB, 38.35 W
2026/08/27 15:30:34.321, 0, 0 %, 0 %, 35305 MiB, 38.81 W
2026/08/27 15:30:34.321, 1, 0 %, 0 %, 35296 MiB, 37.08 W
2026/08/27 15:30:34.321, 2, 0 %, 0 %, 35284 MiB, 38.45 W
2026/08/27 15:30:39.321, 0, 16 %, 4 %, 35307 MiB, 37.53 W
2026/08/27 15:30:39.321, 1, 0 %, 0 %, 35296 MiB, 36.90 W
2026/08/27 15:30:39.322, 2, 0 %, 0 %, 35284 MiB, 38.25 W
2026/08/27 15:30:44.322, 0, 6 %, 0 %, 35307 MiB, 37.71 W
2026/08/27 15:30:44.322, 1, 0 %, 0 %, 35296 MiB, 37.40 W
2026/08/27 15:30:44.322, 2, 0 %, 0 %, 35284 MiB, 37.95 W
2026/08/27 15:30:49.322, 0, 100 %, 23 %, 35307 MiB, 85.69 W
2026/08/27 15:30:49.323, 1, 100 %, 21 %, 35296 MiB, 122.67 W
2026/08/27 15:30:49.323, 2, 100 %, 22 %, 35296 MiB, 147.40 W
2026/08/27 15:30:54.323, 0, 100 %, 25 %, 35307 MiB, 140.32 W
2026/08/27 15:30:54.323, 1, 100 %, 21 %, 35296 MiB, 75.21 W
2026/08/27 15:30:54.323, 2, 100 %, 18 %, 35296 MiB, 122.86 W
2026/08/27 15:30:59.324, 0, 100 %, 23 %, 35307 MiB, 140.35 W
2026/08/27 15:30:59.324, 1, 100 %, 17 %, 35296 MiB, 76.92 W
